timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt,magnetometer_timestamp_relative,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2],baro_timestamp_relative,baro_alt_meter,baro_temp_celcius
61027747,0.0223486,0.00734312,0.0109686,4000,0,-0.36825,-0.112081,-10.9702,4000,-9419,0.34368,8e-05,-0.04768,-758,5526.87,30.61
61031747,0.0229844,0.00628088,0.0103181,4000,0,-0.331809,-0.108718,-10.9731,4000,-3386,0.34096,-0.00168,-0.05096,-4758,5526.87,30.61
61035780,0.0235229,0.00575387,0.0107474,4033,0,-0.339467,-0.116403,-10.9665,4033,-7419,0.34096,-0.00168,-0.05096,-8791,5526.87,30.61
61039746,0.0244771,0.00584515,0.0106443,3966,0,-0.340039,-0.135036,-10.9927,3966,-1412,0.34232,0.00048,-0.0496,-1723,5526.28,30.61
61043746,0.0232029,0.00627889,0.0117064,4000,0,-0.33326,-0.131215,-10.9976,4000,-5412,0.34232,0.00048,-0.0496,-5723,5526.28,30.61
61047746,0.0229817,0.00649174,0.0116,4000,0,-0.34764,-0.121601,-10.9879,4000,-9412,0.34232,0.00048,-0.0496,-9723,5526.28,30.61
61051746,0.0240484,0.00744954,0.0106422,4000,0,-0.344359,-0.111478,-10.9785,4000,-3384,0.34016,-0.00048,-0.05176,-2754,5526.87,30.61
61055747,0.0239499,0.00788217,0.0103289,4001,0,-0.332816,-0.124498,-10.9654,4001,-7385,0.34016,-0.00048,-0.05176,-6755,5526.87,30.61
61059746,0.0230971,0.00638531,0.00989373,3999,0,-0.33131,-0.129217,-10.9745,3999,-1419,0.34168,-0.00024,-0.04712,-10754,5526.87,30.61
61063746,0.0233059,0.00702625,0.0105358,4000,0,-0.339469,-0.144155,-10.9621,4000,-5419,0.34168,-0.00024,-0.04712,-14754,5526.87,30.61
61067746,0.0234128,0.00638531,0.0096844,4000,0,-0.34798,-0.126323,-10.9465,4000,-9419,0.34168,-0.00024,-0.04712,-18754,5526.87,30.61
61087746,0.0235193,0.00702944,0.00957797,4000,0,-0.324729,-0.112452,-10.9586,4000,-9419,0.34424,-0.00088,-0.04768,-5725,5526.87,30.6
61091775,0.0233033,0.00670703,0.00968747,4029,0,-0.330905,-0.132619,-10.9692,4029,-3448,0.34112,-0.0004,-0.05088,-9754,5526.87,30.6
61095747,0.0226674,0.00777012,0.0106422,3972,0,-0.341886,-0.128324,-10.9669,3972,-7420,0.34112,-0.0004,-0.05088,-2741,5528.04,30.6
61099782,0.024049,0.00712988,0.0106422,4035,0,-0.364877,-0.138325,-10.9789,4035,-1455,0.34424,-0.00072,-0.04696,-6776,5528.04,30.6
61103746,0.0235154,0.00638532,0.0100008,3964,0,-0.358605,-0.110132,-10.9975,3964,-5419,0.34424,-0.00072,-0.04696,-10740,5528.04,30.6
61107746,0.0234128,0.00638531,0.00989312,4000,0,-0.368614,-0.105787,-10.9837,4000,-9419,0.34424,-0.00072,-0.04696,-14740,5528.04,30.6
61111795,0.0243718,0.0072327,0.0106422,4049,0,-0.381536,-0.122101,-10.9497,4049,-3468,0.34208,-0.00056,-0.05,-18789,5528.04,30.6
61115746,0.0243693,0.0057425,0.0106422,3951,0,-0.344627,-0.123502,-10.9327,3951,-7419,0.34208,-0.00056,-0.05,-749,5527.16,30.6
61119770,0.0236247,0.00638532,0.0101162,4024,0,-0.338055,-0.138921,-10.9347,4024,-1443,0.3444,-0.00056,-0.04304,-4773,5527.16,30.6
61123746,0.0234128,0.00702477,0.010324,3976,0,-0.319365,-0.137912,-10.9463,3976,-5419,0.3444,-0.00056,-0.04304,-8749,5527.16,30.6
61127746,0.0237326,0.00744953,0.00989378,4000,0,-0.343774,-0.133564,-10.9773,4000,-9419,0.3444,-0.00056,-0.04304,-1688,5527.02,30.6
61131763,0.0227754,0.00744953,0.0111714,4017,0,-0.36632,-0.156087,-11.0028,4017,-3436,0.34376,-0.00064,-0.0492,-5705,5527.02,30.6
61136583,0.0227959,0.00665249,0.0104615,4820,0,-0.354643,-0.127204,-10.995,4820,-8256,0.34376,-0.00064,-0.0492,-10525,5527.02,30.6
61140546,0.0236291,0.00692386,0.00989377,3963,0,-0.341847,-0.123967,-10.9985,3963,-2219,0.346,-0.00112,-0.04528,-3544,5524.82,30.6
61145358,0.0232335,0.00638533,0.0110821,4812,0,-0.335994,-0.138034,-10.9866,4812,-7031,0.346,-0.00112,-0.04528,-8356,5524.82,30.6
61150206,0.0238584,0.00603673,0.0106422,4848,0,-0.325611,-0.122758,-10.9682,4848,-1879,0.34296,-0.00192,-0.04896,-13204,5524.82,30.6
61154181,0.0226538,0.00638532,0.0100991,3975,0,-0.332293,-0.130046,-10.9649,3975,-5854,0.34296,-0.00192,-0.04896,-17179,5524.82,30.6
61158168,0.0228883,0.00713857,0.00979446,3987,0,-0.34832,-0.131043,-10.9717,3987,159,0.34256,-0.00224,-0.04472,-21166,5524.82,30.6
61162168,0.0241515,0.00671083,0.0106422,4000,0,-0.342364,-0.116386,-10.9707,4000,-3841,0.34256,-0.00224,-0.04472,-3139,5524.38,30.6
